,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,Mayank Agarwal,not out,31,14,3,2,221.43,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",2195
1,Murali Vijay,b Pathan,13,10,0,1,130.00,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",1597
2,Dinesh Karthik,c Pathan b Mota,32,13,2,3,246.15,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",145
3,Manoj Tiwary,not out,116,54,8,9,214.81,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",694
4,Jean-Paul Duminy,lbw b Hopes,2,3,0,0,66.67,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",211
5,Ross Taylor,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",521
6,10,b Pathan,25,17,4,1,147.06,Inn1,Delhi Daredevils,Royal Challengers Bangalore,lost,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
7,Parthiv Patel,not out,31,14,3,2,221.43,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",74
8,Nic Maddinson,b Pathan,13,10,0,1,130.00,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",6261
9,Virat Kohli,c Pathan b Mota,32,13,2,3,246.15,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",1413
10,Yuvraj Singh,not out,116,54,8,9,214.81,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",69
11,4,lbw b Hopes,2,3,0,0,66.67,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
12,,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
13,,c Sangakkara b Lee,15,17,4,1,147.06,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
14,,b Pathan,25,10,3,0,150.00,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
15,,b Pathan,25,17,4,1,147.06,Inn2,Royal Challengers Bangalore,Delhi Daredevils,won,13638,20:00:00,17,2014,4,"Sharjah Cricket Stadium, Sharjah",
16,Dwayne Smith,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",255
17,Brendon McCullum,b Pathan,13,10,0,1,130.00,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",201
18,Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",413
19,MS Dhoni,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",265
20,Dwayne Bravo,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",242
21,14,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",
22,,b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Kings XI Punjab,lost,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",
23,Cheteshwar Pujara,not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",1448
24,Virender Sehwag,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",26
25,Glenn Maxwell,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",7662
26,Axar Patel,not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",8808
27,David Miller,lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",6349
28,George Bailey,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",1440
29,6,b Pathan,25,17,4,1,147.06,Inn2,Kings XI Punjab,Chennai Super Kings,won,13639,16:00:00,18,2014,4,"Sheikh Zayed Stadium, Abu Dhabi",
